id,age,style,sex,rating,img,text,cos,score
28308,48,2,0,3.5,monet/A pencil art sketch of a surreal bloom and a train in the style of Claude Monet199.png,A pencil art sketch of a surreal bloom and a train in the style of Claude Monet,0.6714068720553481,0.6690367693610073
43332,11,0,1,4.5,picasso/A pencil art sketch of a dreaming bus and a door in the style of Picasso266.png,A pencil art sketch of a dreaming bus and a door in the style of Picasso,0.7267889531364505,0.8078389210126697
9469,28,1,0,5.0,pop_art/A pencil art sketch of a drinking table and a dresser in the style of Pop Art138.png,A pencil art sketch of a drinking table and a dresser in the style of Pop Art,0.675181452946994,0.837590726473497
18192,27,1,1,5.0,pop_art/A pencil art sketch of a loving figurine and a logo in the style of Pop Art330.png,A pencil art sketch of a loving figurine and a logo in the style of Pop Art,0.6701917930225124,0.8350958965112563
8698,70,1,1,5.0,pop_art/A painting of a psychedelic hotel and a house in the style of Pop Art267.png,A painting of a psychedelic hotel and a house in the style of Pop Art,0.7385436876320051,0.8692718438160025
26355,36,0,1,3.5,picasso/A painting of a dreaming watch and a graveyard in the style of Picasso113.png,A painting of a dreaming watch and a graveyard in the style of Picasso,0.7313533989688094,0.699010032817738
25403,39,2,0,2.0,monet/A photograph of a sleeping dresser and a bedroom in the style of Claude Monet215.png,A photograph of a sleeping dresser and a bedroom in the style of Claude Monet,0.7269783489961532,0.5301558411647432
11583,75,2,1,5.0,monet/A pencil art sketch of a spinning watch and a shrub in the style of Claude Monet306.png,A pencil art sketch of a spinning watch and a shrub in the style of Claude Monet,0.6597315419607634,0.8298657709803817
10126,23,2,1,4.0,monet/An illustration of a psychedelic logo and a egg in the style of Claude Monet273.png,An illustration of a psychedelic logo and a egg in the style of Claude Monet,0.6872787823258896,0.7325282800518336
34444,79,1,0,4.0,pop_art/An illustration of a loving graveyard and a icon in the style of Pop Art105.png,An illustration of a loving graveyard and a icon in the style of Pop Art,0.6932643199408355,0.7355210488593066
11797,33,1,1,4.0,pop_art/A pencil art sketch of a watering house and a door in the style of Pop Art201.png,A pencil art sketch of a watering house and a door in the style of Pop Art,0.6917249721578748,0.7347513749678263
9517,46,2,0,5.0,monet/An illustration of a drinking figurine and a lamp in the style of Claude Monet22.png,An illustration of a drinking figurine and a lamp in the style of Claude Monet,0.7107473942589319,0.8553736971294659
58455,25,0,1,4.0,picasso/A pencil art sketch of a repeating table and a fish in the style of Picasso32.png,A pencil art sketch of a repeating table and a fish in the style of Picasso,0.6880789867501043,0.732928382263941
15917,44,1,0,3.5,pop_art/A painting of a repeating plant and a tree in the style of Pop Art169.png,A painting of a repeating plant and a tree in the style of Pop Art,0.6890595291232351,0.6778630978949508
14670,48,2,0,4.0,monet/A pencil art sketch of a psychedelic bus and a train in the style of Claude Monet256.png,A pencil art sketch of a psychedelic bus and a train in the style of Claude Monet,0.6977980924168881,0.7377879350973329
274868,79,1,1,5.0,pop_art/A photograph of a loving tree and a egg in the style of Pop Art108.png,A photograph of a loving tree and a egg in the style of Pop Art,0.7458345187448961,0.8729172593724481
280,42,2,1,1.0,monet/A pencil art sketch of a dreaming statue and a door in the style of Claude Monet200.png,A pencil art sketch of a dreaming statue and a door in the style of Claude Monet,0.7007939286172121,0.4059525198641616
72490,69,2,0,2.5,monet/A pencil art sketch of a psychedelic plant and a table in the style of Claude Monet125.png,A pencil art sketch of a psychedelic plant and a table in the style of Claude Monet,0.6874509508258047,0.5659476976351245
